name,direction,latitude,longitude,atco,locality,indicator
"Chesham Bois, Bois Avenue (Opp)",SE,51.685639,-0.614577,040000002166,Chesham Bois,Opp
"Chesham Bois, Amersham Road (SE-bound)",SE,51.683603,-0.611934,040000002652,Chesham Bois,SE-bound
"Amersham, Copperkins Lane (opp)",SE,51.682371,-0.610438,040000002164,Amersham,opp
"Amersham, Hervines Road (Opp)",S,51.679307,-0.608305,040000002162,Amersham,Opp
"Amersham, Oakfield Corner (Stop C)",S,51.676303,-0.607515,040000002156,Amersham,Stop C
"Amersham, Railway Station (Stop J)",S,51.67455,-0.607568,040000002213,Amersham,Stop J
"Amersham, Leisure Centre (Opp)",NE,51.676581,-0.602907,040000002601,Amersham,Opp
"Amersham, Green Lane (adj)",SE,51.675837,-0.598576,040000002603,Amersham,adj
"Amersham, Plantation Road (adj)",SE,51.673658,-0.59309,040000002605,Amersham,adj
"Amersham, The Chequers PH (Opp)",W,51.664131,-0.606239,040000002498,Amersham,Opp
"Old Amersham, Broadway (Stop D)",W,51.665396,-0.612866,040000002142,Old Amersham,Stop D
"Old Amersham, Whielden Street (Stop G)",SW,51.66584,-0.616193,040000002140,Old Amersham,Stop G
"Old Amersham, Gilbert Scott Court (opp)",SW,51.663476,-0.619374,040000002138,Old Amersham,opp
"Old Amersham, Amersham Hospital (Opp)",SW,51.661206,-0.622031,040000002096,Old Amersham,Opp
"Old Amersham, Crematorium (Opp)",SW,51.659175,-0.627557,040000002136,Old Amersham,Opp
"Winchmore Hill, New Road (adj)",SW,51.65677,-0.634858,040000002134,Winchmore Hill,adj
"Winchmore Hill, Whielden Gate (Opp)",W,51.6531,-0.644119,040000002133,Winchmore Hill,Opp
"Penn Street, Penn Wood (adj)",NW,51.661009,-0.665729,040000002116,Penn Street,adj
"Beamond End, Sheepcote Dell Road (Westbound)",N,51.661632,-0.678738,040000002114,Beamond End,Westbound
"Holmer Green, Winters Way (Opp)",NW,51.666221,-0.685415,040000002112,Holmer Green,Opp
"Holmer Green, The Bat & Ball PH (adj)",S,51.667603,-0.690783,040000002110,Holmer Green,adj
"Holmer Green, The Pond (adj)",SW,51.665271,-0.693713,040000002108,Holmer Green,adj
"Holmer Green, Browns Road (SW-bound)",SW,51.663657,-0.697375,040000002106,Holmer Green,SW-bound
"Holmer Green, Copners Drive (adj)",SW,51.662776,-0.699887,040000002104,Holmer Green,adj
"Hazlemere, Sawpit Hill (o/s 70)",S,51.661171,-0.705962,040000003122,Hazlemere,o/s 70
"Hazlemere, Park Parade (opp)",S,51.657829,-0.708674,040000003120,Hazlemere,opp
"Hazlemere, Park Lane (adj)",SW,51.654762,-0.711883,040000003118,Hazlemere,adj
"Hazlemere, Crossroads (Opp 323)",SW,51.650784,-0.714005,040000003116,Hazlemere,Opp 323
"Hazlemere, Holy Trinity Church (o/s)",SW,51.649067,-0.718173,040000003114,Hazlemere,o/s
"Hazlemere, St John's Road (adj)",SW,51.647527,-0.721295,040000003112,Hazlemere,adj
"Terriers, De Havilland Drive (adj)",W,51.646769,-0.724309,040000003110,Terriers,adj
"Terriers, Crossroads (o/s 160)",SW,51.644139,-0.732259,040000003108,Terriers,o/s 160
"High Wycombe, Royal Grammar School (Opp)",SW,51.640956,-0.737218,040000003106,High Wycombe,Opp
"High Wycombe, Amersham Hill Drive (adj)",SW,51.637712,-0.739967,040000003104,High Wycombe,adj
"High Wycombe, Maybrook Gardens (adj)",SW,51.634409,-0.743006,040000003102,High Wycombe,adj
"High Wycombe, Station Interchange (Stop X2)",,51.629748,-0.746054,040000002972,High Wycombe,Stop X2
"High Wycombe, Castle Street (Stop W)",W,51.629596,-0.747849,040000003053,High Wycombe,Stop W
"High Wycombe, Oxford Street (Stop K)",W,51.63076,-0.753308,040000003061,High Wycombe,Stop K
"Lye Green, The Green (opp)",NW,51.720653,-0.584393,040000002728,Lye Green,opp
"Lye Green, Deer Park Walk (Adj)",W,51.720479,-0.592318,040000002804,Lye Green,Adj
"Chesham, Culverhouse Way (Opp)",W,51.720768,-0.597709,040000002802,Chesham,Opp
"Chesham, Lycrome Road (adj)",S,51.72001,-0.598963,040000002712,Chesham,adj
"Chesham, Preston Hill (adj)",SW,51.717656,-0.602944,040000002710,Chesham,adj
"Chesham, The Nash Arms PH (Opp)",S,51.716349,-0.607211,040000002708,Chesham,Opp
"Chesham, Berkhampstead Road (o/s 273)",S,51.713454,-0.607952,040000002706,Chesham,o/s 273
"Amersham, Station Road (Stop H)",N,51.665902,-0.60779,040000002147,Amersham,Stop H
"Amersham, Beech Grove (Opp)",N,51.669264,-0.606877,040000002149,Amersham,Opp
"Amersham, The Rise (Opp)",N,51.671517,-0.607314,040000002151,Amersham,Opp
"Chesham, Townsend Road (Opp)",N,51.710126,-0.613236,040000002175,Chesham,Opp
"Chesham, Fire Station (adj)",NW,51.713434,-0.615421,040000002177,Chesham,adj
"Chesham, Valley View (adj)",NW,51.716322,-0.617823,040000002813,Chesham,adj
"Chesham, Hivings Hill (Opp 117)",NW,51.716861,-0.618603,040000002179,Chesham,Opp 117
"Chesham, Hope Church (Opp)",SE,51.721291,-0.617599,040000002181,Chesham,Opp
"Chesham, Windsor Road (adj)",S,51.71936,-0.616181,040000002183,Chesham,adj
"Chesham, Lyndhurst Road (o/s 47)",S,51.71738,-0.613752,040000002185,Chesham,o/s 47
"Chesham, Lansdowne Road (o/s 7)",S,51.715245,-0.611183,040000002099,Chesham,o/s 7
"Chesham, Addison Road (Eastbound)",E,51.714685,-0.609448,040000002698,Chesham,Eastbound
"Amersham, The Rise (adj)",S,51.671651,-0.607238,040000002150,Amersham,adj
"Amersham, Beech Grove (adj)",S,51.669352,-0.60673,040000002148,Amersham,adj
"Amersham, Station Road (Stop I)",S,51.665383,-0.607994,040000002146,Amersham,Stop I
"High Wycombe, High Wycombe BusStn (Bay 13)",,51.631412,-0.75631,040000002963,High Wycombe,Bay 13
"High Wycombe, St John's Church (adj)",W,51.63121,-0.760144,040000003347,High Wycombe,adj
"High Wycombe, Baker Street (Opp)",N,51.633196,-0.761766,040000003288,High Wycombe,Opp
"High Wycombe, The White Horse PH (adj)",NW,51.634853,-0.764539,040000003329,High Wycombe,adj
"High Wycombe, Desborough Park Road (adj)",NW,51.637172,-0.772134,040000003331,High Wycombe,adj
"High Wycombe, Mill End Road (adj)",NW,51.639127,-0.778584,040000003333,High Wycombe,adj
"High Wycombe, Pheasant Drive (adj)",NE,51.64043,-0.78024,040000003309,High Wycombe,adj
"High Wycombe, Falcon Rise (adj)",NW,51.64192,-0.782541,040000003305,High Wycombe,adj
"High Wycombe, Curlew Close (opp)",NE,51.644475,-0.782733,040000003307,High Wycombe,opp
"High Wycombe, Plomer Green Avenue (Eastbound)",E,51.644871,-0.775814,040000003308,High Wycombe,Eastbound
"Downley, Hillfield Close (adj)",SE,51.64357,-0.77345,040000003296,Downley,adj
"Downley, Downs Park (adj)",SE,51.642281,-0.771505,040000003084,Downley,adj
"High Wycombe, Pastures Church (o/s)",E,51.640086,-0.76798,040000003276,High Wycombe,o/s
"High Wycombe, The Pastures (o/s 241)",SE,51.638788,-0.765067,040000003274,High Wycombe,o/s 241
"High Wycombe, Brindley Avenue (adj)",E,51.638004,-0.7623,040000003272,High Wycombe,adj
"High Wycombe, Hughenden Avenue (adj)",E,51.639115,-0.75344,040000003264,High Wycombe,adj
"High Wycombe, The Beaconsfield Arms PH (adj)",S,51.637533,-0.750954,040000003254,High Wycombe,adj
"Hazlemere, Crossroads (Opp 15)",E,51.651515,-0.711802,040000003135,Hazlemere,Opp 15
"Hazlemere, Rose Avenue (o/s 16)",S,51.650442,-0.708262,040000003137,Hazlemere,o/s 16
"Hazlemere, Sir William Ramsay School (Inside)",N,51.647702,-0.710286,040000005015,Hazlemere,Inside
"Tylers Green, William Ramsay School (o/s)",N,51.648436,-0.71066,040000003136,Tylers Green,o/s
"Hazlemere, Rose Avenue (opp 1)",N,51.650249,-0.708672,040000003134,Hazlemere,opp 1
"High Wycombe, The Beaconsfield Arms PH (Opp)",N,51.638169,-0.750778,040000003267,High Wycombe,Opp
"High Wycombe, Hughenden Avenue (opp)",W,51.638726,-0.751586,040000003277,High Wycombe,opp
"High Wycombe, Brindley Avenue (Opp)",W,51.637867,-0.762101,040000003285,High Wycombe,Opp
"High Wycombe, The Pastures (o/s 240)",NW,51.638802,-0.765515,040000003287,High Wycombe,o/s 240
"High Wycombe, Pastures Church (Opp)",W,51.640318,-0.768653,040000003289,High Wycombe,Opp
"Downley, Downs Park (Opp)",NW,51.641791,-0.771056,040000003085,Downley,Opp
"Downley, Hillfield Close (Opp)",NW,51.643462,-0.773453,040000003291,Downley,Opp
"High Wycombe, Plomer Green Avenue (o/s 3)",NW,51.644452,-0.774452,040000003297,High Wycombe,o/s 3
"Downley, Cross Court Shops (Opp)",W,51.644914,-0.777388,040000003299,Downley,Opp
"Downley, South View (adj)",W,51.645076,-0.779089,040000003290,Downley,adj
"High Wycombe, Curlew Close (adj)",W,51.644392,-0.782446,040000003292,High Wycombe,adj
"High Wycombe, Falcon Rise (Opp)",SE,51.642037,-0.782553,040000003294,High Wycombe,Opp
"High Wycombe, Pheasant Drive (Opp)",SW,51.640574,-0.779369,040000003298,High Wycombe,Opp
"High Wycombe, Mill End Road (Opp)",E,51.639215,-0.778409,040000003324,High Wycombe,Opp
"High Wycombe, Mill End Road East (opp)",SE,51.638815,-0.777133,040000002933,High Wycombe,opp
"High Wycombe, Desborough Park Road (Opp)",SE,51.636868,-0.770654,040000003322,High Wycombe,Opp
"High Wycombe, The White Horse PH (Opp)",SE,51.635426,-0.765997,040000003320,High Wycombe,Opp
"High Wycombe, Baker Street (adj)",S,51.633248,-0.761548,040000003279,High Wycombe,adj
"High Wycombe, St John's Church (opp)",E,51.631412,-0.760572,040000003336,High Wycombe,opp
"High Wycombe, Coachway (Stand C)",,51.614271,-0.763725,040000000903,High Wycombe,Stand C
"Cressex, Next ()",W,51.613346,-0.774722,040000005030,Cressex,
"Cressex, Cressex Link Road (adjacent)",N,51.615187,-0.778689,040000002939,Cressex,adjacent
"Cressex, Coronation Road (Opp 2)",N,51.617032,-0.778369,040000003440,Cressex,Opp 2
"Cressex, Halifax Road (adj)",N,51.620159,-0.778169,040000003400,Cressex,adj
"Cressex, Lincoln Road (adj)",SE,51.621281,-0.773661,040000003402,Cressex,adj
"Cressex, Lancaster Road (Opp 19)",SE,51.61942,-0.769349,040000003406,Cressex,Opp 19
"High Wycombe, Carver Hill Road (opp)",N,51.623215,-0.766054,040000003408,High Wycombe,opp
"High Wycombe, The Wendover Arms PH (o/s)",N,51.626855,-0.764944,040000003410,High Wycombe,o/s
"High Wycombe, Plumer Road (adj)",N,51.629048,-0.764046,040000003412,High Wycombe,adj
"High Wycombe, Wycombe General Hospital (Stop U)",E,51.627105,-0.75219,040000003418,High Wycombe,Stop U
"High Wycombe, Town Hall (Stop T)",N,51.627952,-0.748863,040000003095,High Wycombe,Stop T
"High Wycombe, Crendon Street (o/s 25)",NE,51.629109,-0.747747,040000003063,High Wycombe,o/s 25
"High Wycombe, Station Interchange (Stop X3)",,51.629655,-0.745767,040000002973,High Wycombe,Stop X3
"High Wycombe, High Wycombe BusStn (Bay 2)",,51.631157,-0.756808,040000002952,High Wycombe,Bay 2
"High Wycombe, West End Road (adj)",S,51.630539,-0.762994,040000003429,High Wycombe,adj
"High Wycombe, Plumer Road (Opp)",S,51.628992,-0.763845,040000003427,High Wycombe,Opp
"High Wycombe, The Wendover Arms PH (Opp)",S,51.626171,-0.764933,040000003425,High Wycombe,Opp
"High Wycombe, Carver Hill Road (adj)",S,51.622754,-0.765763,040000003423,High Wycombe,adj
"Cressex, Lancaster Road (o/s 1)",NW,51.619432,-0.769666,040000003411,Cressex,o/s 1
"Cressex, Lincoln Road (Opp)",NW,51.62143,-0.774177,040000003413,Cressex,Opp
"Cressex, Halifax Road (Opp)",S,51.620077,-0.778027,040000003415,Cressex,Opp
"Cressex, Coronation Road (Southbound)",S,51.617085,-0.778237,040000003971,Cressex,Southbound
"Cressex, Cressex Link Road (opp)",S,51.615833,-0.77833,040000002940,Cressex,opp
"Cressex, John Hall Way (Eastbound)",E,51.613428,-0.775071,040000003383,Cressex,Eastbound
"Booker, YMCA (adj)",S,51.613002,-0.779127,040000002906,Booker,adj
"High Wycombe, Southfield Road (o/s 11)",E,51.640105,-0.776636,040000003311,High Wycombe,o/s 11
"High Wycombe, White Close (adj)",E,51.640072,-0.773501,040000003313,High Wycombe,adj
"High Wycombe, Middlebrook Road (o/s 51)",E,51.639743,-0.770374,040000003315,High Wycombe,o/s 51
"High Wycombe, Cotswold Way (o/s 25)",SE,51.637881,-0.768575,040000003306,High Wycombe,o/s 25
"High Wycombe, Brecon Way (o/s 87)",SE,51.636534,-0.766198,040000003086,High Wycombe,o/s 87
"High Wycombe, Cumbrian Way (o/s 73)",SE,51.635813,-0.76431,040000003088,High Wycombe,o/s 73
"High Wycombe, Mendip Way (o/s 100)",SE,51.635228,-0.762592,040000003090,High Wycombe,o/s 100
"High Wycombe, Riverside (opp)",SE,51.633555,-0.759964,040000003316,High Wycombe,opp
"High Wycombe, High Wycombe BusStn (Bay 1)",,51.63113,-0.756852,040000002951,High Wycombe,Bay 1
"High Wycombe, Railway Station (opp)",E,51.630262,-0.746213,040000003165,High Wycombe,opp
"High Wycombe, Duke Street (Opp)",E,51.62973,-0.741908,040000003167,High Wycombe,Opp
"High Wycombe, Lucas Road (Adj)",E,51.629514,-0.738475,040000003169,High Wycombe,Adj
"High Wycombe, Bowerdean Crossroads (o/s 137)",S,51.630483,-0.734966,040000003188,High Wycombe,o/s 137
"High Wycombe, Chichester Close (adj)",S,51.627778,-0.734304,040000003190,High Wycombe,adj
"High Wycombe, Cricket Ground (Opp)",E,51.624975,-0.734483,040000003245,High Wycombe,Opp
"High Wycombe, Chestnut Avenue (opp)",E,51.623657,-0.731559,040000003247,High Wycombe,opp
"High Wycombe, London Road Lidl (Opp)",E,51.622801,-0.727234,040000003249,High Wycombe,Opp
"Wycombe Marsh, Post Office (Opp)",E,51.620546,-0.719916,040000003251,Wycombe Marsh,Opp
"High Wycombe, Cock Lane (o/s 55)",NE,51.623214,-0.713109,040000003949,High Wycombe,o/s 55
"High Wycombe, Olympic Way (o/s 86)",S,51.624497,-0.711378,040000003442,High Wycombe,o/s 86
"High Wycombe, Cock Lane (opp 49)",SW,51.622849,-0.713452,040000003950,High Wycombe,opp 49
"High Wycombe, Bank Street (o/s 3)",SE,51.620032,-0.71655,040000003951,High Wycombe,o/s 3
"High Wycombe, Orchard Road (o/s 2)",SE,51.618377,-0.713188,040000003952,High Wycombe,o/s 2
"Wycombe Marsh, The King George V PH (Opp)",E,51.61644,-0.712882,040000003257,Wycombe Marsh,Opp
"High Wycombe, Hammersley Lane (adj)",SE,51.615641,-0.709669,040000003259,High Wycombe,adj
"High Wycombe, The Rise (adj)",SE,51.615697,-0.703312,040000003131,High Wycombe,adj
"High Wycombe, Magpie Wood (adj)",SE,51.614291,-0.701446,040000003133,High Wycombe,adj
"High Wycombe, Hammersley Lane (Opp)",NW,51.615018,-0.708603,040000003236,High Wycombe,Opp
"Wycombe Marsh, The King George V PH (adj)",W,51.616099,-0.712082,040000003234,Wycombe Marsh,adj
"Wycombe Marsh, Ford Street (adj)",NW,51.618369,-0.716583,040000003232,Wycombe Marsh,adj
"Wycombe Marsh, Post Office (o/s)",NW,51.620823,-0.721425,040000003230,Wycombe Marsh,o/s
"High Wycombe, London Road Lidl (Adj)",W,51.622764,-0.727864,040000003250,High Wycombe,Adj
"High Wycombe, Chestnut Avenue (adj)",W,51.623292,-0.73102,040000003248,High Wycombe,adj
"High Wycombe, Gordon Road (o/s 86)",N,51.626143,-0.735303,040000003253,High Wycombe,o/s 86
"High Wycombe, Chichester Close (Opp)",N,51.62762,-0.734598,040000003163,High Wycombe,Opp
"High Wycombe, Bowerdean Crossroads (o/s 144)",SW,51.630525,-0.735557,040000003172,High Wycombe,o/s 144
"High Wycombe, Lucas Road (opp)",W,51.629411,-0.73816,040000003174,High Wycombe,opp
"High Wycombe, Duke Street (adj)",W,51.629736,-0.742456,040000003176,High Wycombe,adj
"High Wycombe, Brook Street (adj)",W,51.632633,-0.757808,040000003325,High Wycombe,adj
"High Wycombe, Riverside (adj)",NW,51.633494,-0.760111,040000003327,High Wycombe,adj
"High Wycombe, High Wycombe BusStn (Bay 4)",,51.631201,-0.75672,040000002954,High Wycombe,Bay 4
"High Wycombe, High Street (Stop R)",E,51.628654,-0.748916,040000003054,High Wycombe,Stop R
"High Wycombe, Trinity Church (o/s)",E,51.6269,-0.742925,040000003243,High Wycombe,o/s
"High Wycombe, Hillary Road (adj)",N,51.626796,-0.723323,040000003231,High Wycombe,adj
"High Wycombe, Windrush Court (adj)",S,51.627777,-0.721706,040000002942,High Wycombe,adj
"High Wycombe, Windrush Drive (Southbound)",S,51.626226,-0.72136,040000002949,High Wycombe,Southbound
"High Wycombe, St Hugh's Avenue (Southbound)",S,51.625408,-0.720516,040000003449,High Wycombe,Southbound
"High Wycombe, Hennerton Way South (adj)",S,51.624639,-0.720928,040000003451,High Wycombe,adj
"High Wycombe, Horsenden Road (opp)",N,51.624108,-0.720047,040000003235,High Wycombe,opp
